"","uuid","suspicion_rating","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","random_pick_col","n_blue","prop_blue","random_pick_red"
"1951","63637d967ee8bf369c131da3",0.166666666666667,0.272727272727273,0.428571428571429,0,0,"high","red",2,0.285714285714286,1
"1952","63637d967ee8bf369c131da3",0.166666666666667,0.181818181818182,0.571428571428572,0,0,"high","blue",3,0.428571428571429,0
"1953","63637d967ee8bf369c131da3",0.666666666666667,0.727272727272727,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
"1954","63637d967ee8bf369c131da3",0.166666666666667,0.272727272727273,0.428571428571429,0,0,"high","red",2,0.285714285714286,1
"1955","63637d967ee8bf369c131da3",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"high","red",1,0.142857142857143,1
"1956","63637d967ee8bf369c131da3",0.5,1,1,1,0,"high","red",1,0.142857142857143,1
"1957","63637d967ee8bf369c131da3",0.5,0.636363636363636,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"1958","63637d967ee8bf369c131da3",0.5,0.545454545454545,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
"1959","63637d967ee8bf369c131da3",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"high","blue",1,0.142857142857143,0
"1960","63637d967ee8bf369c131da3",0.166666666666667,0.181818181818182,0.571428571428572,0,0,"high","blue",3,0.428571428571429,0
"1961","63637d967ee8bf369c131da3",0.666666666666667,1,1,1,0,"high","red",1,0.142857142857143,1
"1962","63637d967ee8bf369c131da3",0.666666666666667,0.727272727272727,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
"1963","63637d967ee8bf369c131da3",0.666666666666667,0.909090909090909,0.857142857142857,1,0,"high","red",2,0.285714285714286,1
"1964","63637d967ee8bf369c131da3",0.666666666666667,1,1,1,0,"high","red",1,0.142857142857143,1
"1965","63637d967ee8bf369c131da3",0.166666666666667,0,0.857142857142857,0,0,"high","blue",5,0.714285714285714,0
"1966","63637d967ee8bf369c131da3",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"high","red",1,0.142857142857143,1
"1967","63637d967ee8bf369c131da3",0.666666666666667,0.727272727272727,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
"1968","63637d967ee8bf369c131da3",0.666666666666667,1,1,1,0,"high","red",1,0.142857142857143,1
"1969","63637d967ee8bf369c131da3",0.5,0.545454545454545,0.285714285714286,1,0,"high","red",6,0.857142857142857,1
"1970","63637d967ee8bf369c131da3",0.666666666666667,0.636363636363636,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"1971","63637d967ee8bf369c131da3",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"high","blue",1,0.142857142857143,0
"1972","63637d967ee8bf369c131da3",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"high","red",1,0.142857142857143,1
"1973","63637d967ee8bf369c131da3",0.666666666666667,0.545454545454545,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
"1974","63637d967ee8bf369c131da3",0.666666666666667,0.909090909090909,0.857142857142857,0,0,"high","blue",2,0.285714285714286,0
"1975","63637d967ee8bf369c131da3",0.166666666666667,0,0.857142857142857,0,0,"high","blue",5,0.714285714285714,0
"1976","63637d967ee8bf369c131da3",0.666666666666667,0.636363636363636,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"1977","63637d967ee8bf369c131da3",0.166666666666667,0.181818181818182,0.571428571428572,0,0,"high","red",3,0.428571428571429,1
"1978","63637d967ee8bf369c131da3",0.166666666666667,0,0.857142857142857,0,0,"high","blue",5,0.714285714285714,0
"1979","63637d967ee8bf369c131da3",0.666666666666667,0.636363636363636,0.428571428571429,1,0,"high","red",5,0.714285714285714,1
"1980","63637d967ee8bf369c131da3",0.666666666666667,0.727272727272727,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
"1981","63b9d5da6b90172429bad8b9",0.5,0.0909090909090909,0.714285714285714,0,1,"low","red",4,0.571428571428571,1
"1982","63b9d5da6b90172429bad8b9",0.166666666666667,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1983","63b9d5da6b90172429bad8b9",0.166666666666667,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1984","63b9d5da6b90172429bad8b9",1,0.909090909090909,0.857142857142857,1,0,"low","red",2,0.285714285714286,1
"1985","63b9d5da6b90172429bad8b9",0.166666666666667,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1986","63b9d5da6b90172429bad8b9",1,0,0.857142857142857,0,0,"low","blue",5,0.714285714285714,0
"1987","63b9d5da6b90172429bad8b9",1,0.909090909090909,0.857142857142857,0,1,"low","red",2,0.285714285714286,1
"1988","63b9d5da6b90172429bad8b9",1,0.272727272727273,0.428571428571429,0,1,"low","red",2,0.285714285714286,1
"1989","63b9d5da6b90172429bad8b9",0.833333333333333,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1990","63b9d5da6b90172429bad8b9",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1991","63b9d5da6b90172429bad8b9",0.333333333333333,0.636363636363636,0.428571428571429,0,1,"low","red",5,0.714285714285714,1
"1992","63b9d5da6b90172429bad8b9",0.833333333333333,0.272727272727273,0.428571428571429,0,0,"low","blue",2,0.285714285714286,0
"1993","63b9d5da6b90172429bad8b9",0.333333333333333,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1994","63b9d5da6b90172429bad8b9",1,1,1,0,0,"low","blue",1,0.142857142857143,0
"1995","63b9d5da6b90172429bad8b9",0.833333333333333,0.818181818181818,0.714285714285714,0,1,"low","red",3,0.428571428571429,1
"1996","63b9d5da6b90172429bad8b9",1,0.909090909090909,0.857142857142857,1,0,"low","red",2,0.285714285714286,1
"1997","63b9d5da6b90172429bad8b9",0.333333333333333,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1998","63b9d5da6b90172429bad8b9",0.833333333333333,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1999","63b9d5da6b90172429bad8b9",0.833333333333333,0,0.857142857142857,0,0,"low","blue",5,0.714285714285714,0
"2000","63b9d5da6b90172429bad8b9",0.833333333333333,0.909090909090909,0.857142857142857,0,1,"low","red",2,0.285714285714286,1
"2001","63b9d5da6b90172429bad8b9",0.333333333333333,0.818181818181818,0.714285714285714,0,0,"low","blue",3,0.428571428571429,0
"2002","63b9d5da6b90172429bad8b9",0.333333333333333,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"2003","63b9d5da6b90172429bad8b9",0.166666666666667,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"2004","63b9d5da6b90172429bad8b9",0.333333333333333,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"2005","63b9d5da6b90172429bad8b9",0.333333333333333,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"2006","63b9d5da6b90172429bad8b9",0.166666666666667,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"2007","63b9d5da6b90172429bad8b9",0.166666666666667,0.272727272727273,0.428571428571429,0,1,"low","red",2,0.285714285714286,1
"2008","63b9d5da6b90172429bad8b9",0.666666666666667,0.909090909090909,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"2009","63b9d5da6b90172429bad8b9",0.333333333333333,0.909090909090909,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"2010","63b9d5da6b90172429bad8b9",0.666666666666667,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"2011","63b9d5da6b90172429bad8b9",0.5,0.75,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
